poi_id,poi_name,original_share,counterfactual_share,share_change,dist_to_removed_m,freq,category
Baskin Robbins|40.686686|-73.990726,Baskin Robbins,0.0001703913959652819,0.00018529951698854157,1.4908121023259665e-05,828.7614790516855,12,Snack and Nonalcoholic Beverage Bars
Pies 'N Thighs|40.691654|-73.985191,Pies 'N Thighs,0.00031114343175284913,0.00032569879983038267,1.4555368077533539e-05,343.1160391683364,28,Full-Service Restaurants
Flip Bird|40.687635|-73.978714,Flip Bird,0.0006022737352472248,0.0006164881365883019,1.421440134107704e-05,1047.3959012671141,19,Full-Service Restaurants
Potbelly Sandwich Works|40.692928|-73.988442,Potbelly Sandwich Works,0.0002936882850687808,0.00030785080198970184,1.4162516920921016e-05,108.55979951705592,207,Limited-Service Restaurants
Burger King|40.689048|-73.981900,Burger King,0.00020451759229066764,0.00021861745132352635,1.409985903285871e-05,744.3008196748433,24,Limited-Service Restaurants
Nathan's Famous|40.693353|-73.990837,Nathan's Famous,0.00022902335589114204,0.00024224217192415215,1.3218816033010107e-05,242.1898660956525,106,Caterers
One Way Deli|40.693364|-73.990791,One Way Deli,0.0004496643725228453,0.0004623185122671726,1.2654139744327293e-05,238.13418847368436,34,Limited-Service Restaurants
Cafe Metro|40.694042|-73.983939,Cafe Metro,8.470598125774567e-05,9.710441759668473e-05,1.239843633893906e-05,346.53489732950527,8,Full-Service Restaurants
Brooklyn Juicer|40.689421|-73.982854,Brooklyn Juicer,0.00013007570024432688,0.0001423570219520283,1.2281321707701412e-05,659.1822283937711,25,Snack and Nonalcoholic Beverage Bars
Romero Delicatessen|40.687217|-73.993873,Romero Delicatessen,6.403310435151006e-05,7.604744301254796e-05,1.2014338661037904e-05,886.9445516497249,9,Limited-Service Restaurants
Dippin' Dots|40.692099|-73.988450,Dippin' Dots,0.00024005910814905404,0.00025193085357783746,1.187174542878342e-05,198.3745943911494,38,Snack and Nonalcoholic Beverage Bars
Marino's Italian Ices Cart|40.688775|-73.981132,Marino's Italian Ices Cart,0.0002860340949463133,0.00029779050142381353,1.1756406477500233e-05,811.5537248217156,28,Snack and Nonalcoholic Beverage Bars
